"DMSO_1"	"DMSO_2"	"DMSO_3"	"DMSO_4"	"DRUGX_1"	"DRUGX_2"	"DRUGX_3"	"DRUGX_4"
"ENSG00000226469.1"	2	0	1	1	1	0	0	0
"ENSG00000134007.5"	0	0	0	1	0	1	0	1
"ENSG00000259158.5"	2	3	2	2	0	1	0	1
"ENSG00000139985.8"	8	5	8	1	9	12	5	3
"ENSG00000235812.4"	0	0	0	0	0	0	0	0
"ENSG00000008277.15"	131	132	162	103	57	68	61	78
"ENSG00000114948.13"	701	691	785	681	1389	1657	1400	1402
"ENSG00000042980.14"	0	2	1	1	1	0	4	0
"ENSG00000168594.15"	1	0	1	0	1	1	0	1
"ENSG00000275594.4"	42	47	29	28	18	8	19	15
"ENSG00000197140.15"	89	47	62	42	50	60	25	49
"ENSG00000149451.19"	0	0	0	0	1	0	0	0
"ENSG00000069206.15"	0	0	0	0	0	0	0	0
"ENSG00000151651.16"	53	53	42	48	33	62	46	52
"ENSG00000168615.13"	12372	10792	12304	11935	15262	17684	15577	14350
"ENSG00000154734.16"	3268	3066	3356	3174	6637	7250	6742	6240
"ENSG00000142303.14"	235	259	292	275	198	248	215	219
"ENSG00000151388.11"	3172	2617	2827	2870	6565	7270	6473	6292
"ENSG00000281690.2"	47	46	37	44	94	79	131	111
"ENSG00000281244.2"	12	15	12	26	18	24	36	30
"ENSG00000160323.19"	0	0	0	0	13	23	0	0
"ENSG00000138316.11"	250	244	233	203	738	791	635	791
"ENSG00000166106.4"	802	737	824	857	305	324	305	347
"ENSG00000145536.15"	0	3	1	0	0	1	0	2
"ENSG00000140470.15"	2	0	2	7	0	1	2	0
"ENSG00000140873.16"	0	0	4	1	6	4	8	2
"ENSG00000283802.3"	0	0	0	0	1	0	0	0
"ENSG00000173157.18"	1	2	0	0	0	1	1	0
"ENSG00000156140.10"	205	144	173	163	97	90	97	79
"ENSG00000158859.10"	7	5	8	0	1	13	7	5
"ENSG00000154736.6"	160	151	134	147	459	513	496	418
"ENSG00000049192.15"	536	480	556	443	390	385	294	329
"ENSG00000136378.15"	538	554	562	533	1386	1491	1338	1337
"ENSG00000274376.5"	2	0	0	0	0	1	0	3
"ENSG00000281976.2"	1	0	0	0	3	2	0	0
"ENSG00000261143.2"	0	0	0	1	0	0	0	0
"ENSG00000218052.8"	0	0	3	1	0	0	0	0
"ENSG00000134917.10"	0	3	0	1	1	0	0	0
"ENSG00000163638.13"	1	0	0	2	3	0	0	0
"ENSG00000178031.18"	2841	2440	2490	2359	5410	5564	5074	5513
"ENSG00000197859.11"	7	8	1	4	1	3	2	0
"ENSG00000156218.13"	608	561	583	491	388	446	360	420
"ENSG00000143382.16"	56	71	62	59	196	228	211	211
"ENSG00000185761.11"	109	116	117	95	211	262	254	271
"ENSG00000105963.15"	0	0	0	0	5	0	9	6
"ENSG00000184060.11"	4	2	6	3	5	4	4	2
"ENSG00000160710.18"	5121	4645	4912	4902	4166	4619	4182	4092
"ENSG00000197381.18"	486	362	381	428	334	414	375	411
"ENSG00000065457.11"	843	729	724	693	617	679	588	610
"ENSG00000189007.16"	123	119	165	134	116	127	107	105
"ENSG00000213638.6"	173	179	226	164	108	117	151	126
"ENSG00000063761.16"	101	125	97	100	130	167	144	142
"ENSG00000133597.11"	558	615	646	631	508	594	587	535
"ENSG00000285451.2"	166	174	210	197	133	103	134	128
"ENSG00000164742.16"	5	9	3	1	2	1	2	0
"ENSG00000143199.18"	1	2	2	0	0	1	3	0
"ENSG00000161912.19"	6	4	4	3	7	8	1	2
"ENSG00000078295.17"	4	3	1	0	0	1	5	5
"ENSG00000138031.15"	1656	1646	1611	1556	714	816	722	699
"ENSG00000284814.1"	7	6	6	3	6	7	1	7
"ENSG00000173175.16"	8	9	7	3	8	13	13	10
"ENSG00000174233.12"	1466	1423	1458	1431	2350	2626	2358	2401
"ENSG00000121281.13"	10	12	14	15	8	0	6	6
"ENSG00000155897.10"	0	0	0	0	0	0	0	0
"ENSG00000162104.10"	842	772	758	764	900	1024	941	1013
"ENSG00000078549.16"	0	0	0	0	0	0	0	1
"ENSG00000087274.19"	4640	4358	4676	4519	4338	5030	4567	4454
"ENSG00000075340.23"	1105	925	993	957	319	382	309	266
"ENSG00000148700.15"	1631	1481	1614	1499	832	937	865	738
"ENSG00000118492.18"	0	0	0	0	0	0	0	0
"ENSG00000197177.16"	0	0	0	0	0	0	0	0
"ENSG00000020181.18"	101	84	111	127	56	81	119	91
"ENSG00000152990.14"	1181	1078	1166	1195	706	841	777	732
"ENSG00000256616.3"	2	1	0	2	1	2	1	0
"ENSG00000121753.13"	787	735	762	761	697	854	746	758
"ENSG00000135298.15"	1	0	0	0	1	0	1	0
"ENSG00000111452.13"	4	1	3	2	0	2	5	0
"ENSG00000180264.12"	2	1	1	0	4	0	0	1
"ENSG00000174837.15"	2	3	5	2	3	6	5	5
"ENSG00000127507.18"	5	0	0	0	0	0	1	3
"ENSG00000131355.15"	0	0	0	0	0	0	0	0
"ENSG00000123146.20"	545	510	535	532	611	645	598	561
"ENSG00000153292.16"	4	1	10	5	4	1	10	6
"ENSG00000164393.10"	0	0	0	0	0	0	0	0
"ENSG00000173567.16"	15	7	6	6	8	17	14	15
"ENSG00000153294.12"	31	33	35	32	15	35	11	13
"ENSG00000069122.19"	1	6	1	2	6	5	4	4
"ENSG00000204818.4"	8	0	0	1	1	0	3	1
"ENSG00000205336.14"	1090	1040	1062	957	171	295	246	241
"ENSG00000173698.18"	16	4	9	16	6	5	13	10
